year,month,Average Rainfall,nino3,nino3.4,nino4,Arabian_Sea,equatorialindianocean,bayofbengal,SPI_1,Drought_Category,Drought_Category_Encoded
1934,1,0.03,25.031889579731743,25.665862418894832,26.52087809677419,25.41608604347826,27.29710713636364,26.648806238434165,-0.821697121928032,Mild drought,2
1934,2,0.03,25.718848409836063,25.90196721212121,26.53866408797654,25.495652502717395,27.60371177090909,26.771614306049823,-0.8176399950515535,Mild drought,2
1934,3,0.12092713306774189,26.490915290611024,26.3347056114082,26.657324976539588,26.651138494565217,28.14465424,27.80984663345196,0.25858238620088,No drought,1
1934,4,0.030408056250000003,27.43167589865872,27.350022153297683,27.52362749560117,28.34470073913044,28.92694380727273,29.084080825622777,-0.8208256736998294,Mild drought,2
1934,5,0.045288861898387,26.70638140685544,27.36861821568628,27.850956348973607,29.35632983695652,28.61352321090909,29.354151551601426,-1.0891428185219942,Moderate drought,3
1934,6,2.428899866596666,26.354871071535023,27.35446039928699,28.06849381231672,28.77818057065217,28.30723695272728,28.805320508896795,1.3499137439828897,No drought,1
1934,7,1.2012805141612903,25.26851083010432,26.816489226381464,27.772004988269792,27.058484494565217,27.81571827090909,28.32049925266904,-0.9350106450576107,Mild drought,2
1934,8,8.62287613727742,24.973577312965723,26.568238536541887,27.66657103812317,26.521837581521737,27.72253365636364,28.100913199288257,1.7578459429335438,No drought,1
1934,9,0.3537192333666667,24.903442757078988,26.279424837789666,27.47598816715543,26.94422051358696,27.844686147272725,28.131180555160142,-0.6346042780026279,Mild drought,2
1934,10,0.03,24.821394682563337,26.50642925668449,27.679019035190617,27.94085891847826,27.82141505090909,28.36105948398577,-0.7388873902135528,Mild drought,2
1934,11,0.03,25.06265804470939,26.585500590017823,27.7349526744868,27.505339415760872,27.91398914,27.908132291814947,-0.5039753172388791,Mild drought,2
1934,12,0.056753586693548304,24.82437890909091,26.34979569340464,27.58638507917889,26.817673078804347,28.00848069454545,26.7891340177936,-0.011229041221620158,Mild drought,2
1935,1,0.24544077119032254,25.166434926974663,26.260009128342247,27.31900185043988,25.82781014945652,27.771273278181816,26.55356393950178,1.0481836743540085,No drought,1
1935,2,0.12044423772499999,25.773771706408347,26.579214910873443,27.5255244340176,25.870159994565217,28.19967640909091,27.134588800711743,0.07703703259935196,No drought,1
1935,3,0.0568677106870967,26.837142219076007,26.98189818181818,27.53267798240469,26.95272676358696,28.5806823,28.34849340569395,-0.3301314662064918,Mild drought,2
1935,4,0.22285849480999992,27.413723318926976,27.45314292869876,27.686537739002933,28.38232401902174,29.39483594363636,29.44168115658363,0.6437534854228614,No drought,1
1935,5,0.0699173235903225,26.7490688390462,27.32403286452763,27.872359413489736,29.459740820652176,29.01929150909091,29.698313669039145,-0.8589137540639513,Mild drought,2
1935,6,0.12626373020999998,25.9852389076006,27.28564164884136,28.08875691495601,28.8482389375,28.45343812,28.855761309608543,-1.5094785708434093,Severe drought,4
1935,7,3.982315813749999,24.91364108494784,26.596351055258467,27.793930038123168,27.296849834239133,27.818015390909093,28.278624601423488,0.5608182999302761,No drought,1
1935,8,1.2597761141064514,25.12174177496274,26.95652070231729,28.249184909090907,26.497135404891303,27.53295036181818,28.1515621316726,-0.7656707475811474,Mild drought,2
1935,9,1.6307192481333335,25.203938336810733,26.864322873440283,28.155023187683287,26.89225237771739,27.69490672,28.29302581850534,0.5121605504985113,No drought,1
1935,10,0.15173915221935483,25.104395777943367,27.019979900178253,28.440645052785925,27.97854870652174,27.87485883818182,28.7681680569395,0.21241306450037659,No drought,1
1935,11,0.03,25.38291992995529,26.957608408199643,28.29744782697947,27.553567198369567,27.987631569090908,28.05636296797153,-0.5039753172388791,Mild drought,2
1935,12,0.033319683467741903,25.3029280461997,26.55652657397504,27.76723219061584,26.82568443206522,27.997435845454547,27.31319683274021,-0.476621464636914,Mild drought,2
1936,1,0.03,26.21009111028316,27.302632821746883,28.14278796774193,26.06165431521739,27.89514333090909,27.002944327402133,-0.821697121928032,Mild drought,2
1936,2,0.364443176725862,26.76958765871833,27.24259328698752,28.0326468914956,26.11106733695652,28.28165032181818,27.287668053380784,1.1133565062676598,No drought,1
1936,3,0.0780150836709677,27.035210564828613,27.25420737611408,27.92424822580645,27.087627972826088,28.92928381818182,28.41453208540925,-0.09935323847820397,Mild drought,2
1936,4,0.0380784718766666,27.6648888509687,28.03950725668449,28.5067358797654,28.51833932608696,29.384566867272728,29.463109604982204,-0.6922541012898861,Mild drought,2
1936,5,0.0322534223790322,26.78429577198212,27.78601349019608,28.76195239296188,29.57638346467391,28.88664823272727,29.708546291814947,-1.2553053722470429,Moderate drought,3
1936,6,1.9296724127283331,25.98306448137109,27.328847217468805,28.25027419354839,28.54482191576087,28.413923498181816,28.77351753380783,1.0181842891650776,No drought,1
1936,7,1.0485909718225808,25.43028133532042,26.90771370409982,28.054531521994136,27.34232608423913,27.89167013272728,28.37891308185053,-1.073544045572974,Moderate drought,3
